PlayerID,PA,WAR,G,AB,R,H,2B,3B,HR,RBI,SB,HallOfFame
wertdo01,4346,1.042222222,1110,3840,417,929,129,15,77,366,22,NC
zernigu01,4562,0.735,1234,3598,484,944,129,17,204,655,13,NC
deckest01,787,-0.03625,263,785,68,172,20,2,13,76,1,NC
walljo01,46,-0.023333333,15,36,4,14,4,0,0,1,0,NC
callijo01,7437,2.404375,1886,6652,926,1757,321,89,226,840,74,C
moultal01,19,-0.01,4,15,4,1,0,0,0,1,0,NC
brownbr01,1150,-0.148333333,424,1040,139,261,57,11,44,142,14,NC
lindca01,1081,-0.2525,256,981,131,267,53,5,1,74,9,NC
milleko01,20,-0.113333333,5,17,2,2,0,0,0,1,0,NC
keougjo01,971,0.053333333,332,863,95,212,26,5,9,81,9,NC
birchju01,1044,-0.443333333,225,1007,196,254,24,4,1,51,0,NC
castivi01,242,-0.12,88,215,24,49,7,0,2,23,0,NC
hambyji01,62,-0.235,22,55,6,10,0,1,0,5,1,NC
lewisph01,1940,0.35,508,1775,146,429,33,13,4,130,55,NC
wolfeha01,12,0,12,10,2,4,0,0,0,2,0,NC
haased01,79,-0.08,55,70,7,17,3,0,1,10,0,NC
murrabo01,41,-0.16,10,37,2,7,1,0,0,2,1,NC
reeder01,68,-0.305,60,61,9,6,0,0,0,0,4,NC
piercan01,8,-0.01,2,8,1,2,0,0,0,0,0,NC
smithha09,1824,0.28,570,1697,126,437,63,8,23,172,6,NC
kellge01,7529,1.969473684,1795,5826,739,1788,346,38,57,753,47,I
dalyto01,6504,1.477222222,1568,5544,1003,1524,259,94,48,792,386,NC
balazjo01,173,-0.21,59,162,14,39,8,1,2,15,0,NC
kirkped01,4009,0.451666667,1311,3398,411,802,142,18,87,423,34,NC
footeba01,2300,0.2875,687,2041,180,468,101,11,52,226,10,NC
lopesda01,7340,2.356111111,1812,6626,1077,1750,248,52,169,659,575,C
boyleja01,4663,-0.024615385,1087,4232,671,1070,139,54,23,570,126,NC
nealof01,13,-0.28,4,13,0,0,0,0,0,0,0,NC
mccoybe01,1426,1.31,337,1214,182,327,52,18,16,156,8,NC
gaver01,4,0.02,1,4,1,0,0,0,0,0,0,NC
jethrsa01,1974,2.18,442,1763,280,460,80,25,49,181,98,NC
whitero02,5852,1.662941176,1474,5918,837,1675,329,36,221,860,100,C
feinbed01,42,-0.12,16,38,2,7,1,0,0,0,0,NC
wrighta01,3981,1.856666667,1029,3583,465,1115,175,55,38,553,32,NC
