PA,R,H,2B,HR,RBI,SB,HallOfFame
9927,1357,2705,396,37,842,62,C
6671,937,1651,241,94,545,207,C
3686,468,1088,242,53,398,18,C
5939,816,1445,219,349,1119,4,C
7833,995,1911,339,124,695,56,C
10519,1410,2711,434,426,1475,90,I
2668,276,647,128,32,347,18,C
7963,1174,2092,458,335,1106,166,C
5337,409,1326,221,33,472,33,C
1716,124,359,64,15,132,1,C
67,4,12,3,1,6,2,I
7221,1174,1953,389,229,1113,66,I
2948,277,601,103,61,305,4,C
11348,1859,2876,488,511,1860,89,I
7558,914,1899,366,138,1055,61,C
9625,1156,2194,309,79,631,638,C
7030,747,1687,310,22,709,225,C
4778,632,1195,144,18,302,78,C
5253,559,1080,173,8,367,141,C
3624,406,701,114,123,432,19,C
9692,1249,2247,362,528,1591,26,I
6108,895,1747,301,103,779,84,I
4423,620,1008,114,11,469,262,C
6973,1140,2067,270,24,988,70,I
9057,1329,2108,260,61,797,353,C
12606,2227,2935,601,762,1996,514,C
13941,2174,3771,624,755,2297,240,I
7603,986,2098,400,96,660,137,C
9466,1143,2599,440,272,1308,83,C
11329,1650,2517,449,268,1133,689,I
8177,1285,2164,418,363,1238,176,C
6526,1261,1988,343,126,1308,232,I
4034,413,764,128,86,382,55,C
9480,1586,2954,546,302,1603,136,I
9829,1436,2657,486,225,1547,164,I
4483,380,1030,124,2,456,23,C
10861,1272,2732,505,379,1652,49,I
6240,579,1345,199,11,594,177,I
1884,202,391,59,25,163,13,C
4788,401,1219,198,18,537,34,C
4696,591,1130,211,222,729,21,C
7518,880,1795,344,307,1128,37,C
9470,1338,2170,330,126,885,232,I
6523,874,1564,343,278,987,91,C
6220,873,2014,270,35,469,170,C
2651,270,594,77,29,251,41,C
6046,769,1210,201,135,667,119,C
8247,1092,2020,374,193,1007,341,C
10740,1513,3010,578,118,1014,24,I
6024,859,1532,325,285,983,31,C
380,38,82,8,3,39,8,C
6495,815,1520,284,164,784,238,C
8050,1239,2051,396,288,1283,96,C
10395,1305,2583,407,512,1636,50,I
4106,556,996,144,16,498,189,C
6476,711,1526,232,32,715,177,C
7162,1001,1655,262,147,591,420,C
5120,627,1196,234,250,822,6,C
6580,952,1483,318,325,1006,71,C
2810,281,616,94,102,327,7,C
8189,1076,1994,321,231,971,183,C
7223,1151,1696,319,44,695,151,C
5383,566,1500,205,65,585,35,C
8028,1094,2042,381,223,1247,54,I
4963,605,1226,140,7,329,208,C
7036,867,1662,289,23,518,156,C
1496,124,327,46,3,155,20,C
205,25,54,8,1,24,5,C
4324,580,1036,172,135,441,168,C
5777,833,1424,229,164,703,50,C
13099,2245,4189,724,117,1944,896,I
5927,777,1243,220,303,953,5,C
6115,738,1642,267,215,903,97,C
9537,1369,2550,578,388,1561,98,C
9351,1108,2256,453,108,1071,70,C
2949,392,659,79,5,265,127,C
7471,1018,1936,197,27,441,369,C
6719,877,1588,239,38,563,149,I
6878,861,1759,362,100,664,216,C
6602,932,1553,277,306,1015,53,C
6900,706,1591,241,200,758,24,C
12013,1445,2877,456,80,951,404,C
7735,964,1803,300,160,758,233,C
5895,782,1687,302,143,818,60,C
11742,1898,3040,553,604,1870,209,I
4536,518,1002,163,159,560,17,C
12883,1647,3184,603,431,1695,36,I
5936,605,1270,225,101,606,34,C
6675,986,1587,364,249,894,256,C
5276,627,1180,156,10,509,203,C
6313,737,1570,308,163,852,39,C
3716,361,752,118,50,282,26,C
5852,837,1675,329,221,860,100,C
7939,1012,2192,415,241,1125,89,C
7831,1071,2304,414,207,1085,134,I
4100,618,1054,209,23,376,176,C
4264,788,1188,232,40,364,81,C
7726,1024,1981,306,251,1005,115,C
6051,723,1421,204,26,467,324,C
3392,373,862,164,121,468,59,C
5291,492,1347,272,85,618,14,C
4558,496,1004,162,160,591,23,C
5321,560,1105,187,93,534,15,C
6116,923,1748,363,230,937,95,C
9665,1888,2721,534,493,1995,102,I
7149,774,1690,263,31,783,336,I
5516,539,1120,136,7,267,127,C
10313,1649,2428,471,646,1805,19,I
8138,1470,2281,373,65,1240,458,I
8638,1082,2172,441,41,804,67,I
5577,931,1318,159,30,518,329,C
2764,305,656,90,21,261,105,C
2324,230,456,72,30,174,14,C
12817,1637,3317,564,509,1940,113,I
6998,798,1623,302,176,729,80,C
3988,510,881,137,116,441,128,C
6432,769,1506,264,59,710,121,C
4723,535,1093,170,89,514,88,C
6046,754,1471,275,34,552,181,C
7127,906,1715,347,242,992,88,C
4040,487,945,183,40,486,63,C
6457,1460,1965,388,70,1047,405,I
5235,671,1187,238,119,458,103,C
10211,1416,3000,440,240,1305,83,I
6520,735,1333,288,276,938,7,C
12718,1949,3630,725,475,1951,78,I
6777,731,1700,313,114,712,225,C
6681,833,1768,291,135,929,71,I
4032,391,930,141,52,376,46,C
2968,380,687,129,21,295,12,C
5516,623,1207,182,25,386,96,C
2954,268,682,139,43,293,10,C
7655,710,1563,245,67,571,39,C
3977,363,777,119,21,378,98,C
4780,652,1146,193,166,674,128,C
8501,935,1855,271,70,558,209,C
7907,954,2026,351,201,806,102,C
6158,810,1533,238,39,396,67,C
4289,664,1263,164,49,534,228,C
8188,1063,2391,379,82,903,377,C
4743,472,1036,188,47,508,35,C
5804,947,1518,273,137,734,197,I
2941,665,866,124,11,326,47,C
10610,1391,2961,458,97,1519,366,I
850,183,224,21,4,113,11,C
7574,936,2015,380,64,1147,194,C
4886,714,1321,284,92,529,20,C
10075,1481,2429,490,519,1696,32,I
5282,790,1263,273,80,398,281,C
4669,629,1205,139,17,324,182,C
6476,656,1608,290,149,824,64,C
6171,653,1352,237,210,773,10,C
6892,899,1849,368,114,955,124,C
4703,619,1190,224,217,796,18,C
10255,1429,2466,389,75,817,375,I
5555,908,1504,271,250,1087,52,I
3626,337,709,86,11,342,58,C
6325,699,1617,229,22,403,67,C
9461,1217,2161,311,54,675,266,C
10099,1532,2880,466,105,1244,419,I
6723,852,1563,280,268,1115,37,C
7552,1133,1997,310,27,797,374,C
5430,662,1453,224,22,760,215,C
7065,930,1969,343,202,1209,37,I
5475,628,1354,161,224,729,49,C
3370,401,732,121,27,260,30,C
4730,565,1196,183,93,524,91,C
11746,1739,3420,643,101,1733,723,I
6589,869,1632,274,20,891,479,C
5772,1129,1625,250,71,883,354,I
7914,1046,1820,241,377,1103,43,C
12167,1782,3319,605,234,1307,504,I
5055,664,1342,286,112,555,64,C
7076,600,1478,294,24,629,27,I
6098,1051,1628,379,331,1276,58,I
10460,1473,2600,453,314,1169,327,C
203,17,33,5,0,7,0,C
4218,448,984,193,43,372,6,C
6500,771,1619,394,223,952,30,C
10351,1279,2663,355,35,790,76,I
4022,329,933,175,30,409,18,C
