PA,R,H,HR,RBI,HallOfFame
694,69,154,13,65,NC
1995,209,414,69,264,NC
1,0,0,0,0,NC
2482,374,655,8,270,NC
4513,608,895,237,623,NC
566,53,135,4,52,NC
6,2,2,0,1,NC
13,0,1,0,0,NC
4714,559,1173,57,405,NC
69,6,12,0,5,NC
837,80,165,15,60,NC
119,11,22,4,10,NC
33,6,7,0,2,NC
8249,992,1923,32,565,I
1998,216,513,67,260,NC
601,54,122,6,39,NC
488,45,74,0,5,NC
670,75,147,14,75,NC
12,2,2,0,0,NC
127,14,28,1,12,NC
11,2,1,1,1,NC
38,4,10,0,5,NC
61,7,7,0,9,NC
4863,480,1142,42,377,NC
338,39,74,0,25,NC
124,17,23,2,8,NC
2222,208,503,30,229,NC
81,8,21,3,10,NC
405,49,87,6,42,NC
32,2,7,0,1,NC
0,0,0,0,1,NC
1239,142,289,40,128,NC
6899,616,1480,93,620,C
1294,163,345,29,143,NC
1016,83,238,2,109,NC
0,0,0,0,0,NC
3325,428,824,69,376,NC
884,67,161,23,99,NC
29,5,8,0,3,NC
151,0,0,0,0,NC
2623,342,595,17,311,NC
15,0,1,0,0,NC
36,2,5,0,1,NC
283,25,55,5,20,NC
82,12,24,1,11,NC
2096,294,429,8,152,NC
3,1,0,0,0,NC
67,6,13,0,6,NC
775,68,147,1,40,NC
149,21,36,0,17,NC
102,9,15,0,6,NC
6534,842,1609,253,941,C
8220,1033,1833,224,864,C
33,2,3,0,1,NC
139,13,26,1,3,NC
214,15,46,2,15,NC
12,1,0,0,0,NC
3667,394,858,20,429,NC
1,0,0,0,0,NC
1225,113,307,10,123,NC
2664,254,605,2,216,NC
9685,1074,2472,248,1389,C
1285,125,306,23,156,NC
105,5,24,0,12,NC
5029,933,1334,62,756,NC
137,14,39,0,7,NC
6247,736,1340,41,490,NC
111,11,26,0,4,NC
341,24,61,11,41,NC
154,13,27,0,16,NC
2349,173,440,39,234,NC
2873,312,692,6,252,C
7315,985,1838,180,1189,I
9692,1249,2247,528,1591,I
494,49,108,7,52,NC
1413,115,315,3,146,NC
1428,125,368,25,200,C
607,37,90,6,44,NC
5976,705,1388,33,511,NC
4,0,0,0,0,NC
37,8,6,1,7,NC
0,0,0,0,0,NC
3,0,1,0,0,NC
295,41,64,5,36,NC
2116,255,487,73,249,NC
158,19,34,3,17,NC
