PA,R,H,2B,HR,RBI,SB,HallOfFame
8,0,0,0,0,2,0,NC
5,0,0,0,0,0,0,NC
718,70,184,20,8,83,4,NC
1481,185,340,40,8,132,83,NC
20,1,2,0,0,0,0,NC
3988,510,881,137,116,441,128,C
463,44,105,8,0,36,2,NC
775,140,192,19,2,62,5,NC
51,4,8,1,1,3,0,NC
817,85,184,23,0,34,0,NC
938,103,206,25,6,57,15,NC
9,2,2,1,0,0,0,NC
3929,506,906,218,154,538,46,NC
1195,184,342,78,11,17,1,NC
191,16,39,8,1,16,3,NC
4805,512,985,125,8,313,165,NC
18,3,5,1,0,3,0,NC
5160,836,1372,226,60,810,255,NC
1070,81,204,34,37,127,0,NC
740,121,168,15,2,90,45,NC
4530,606,1121,199,39,320,69,C
1594,165,325,38,7,103,59,NC
71,3,14,3,2,8,1,NC
24,1,2,0,0,0,1,NC
1,0,0,0,0,0,0,NC
14,1,1,0,0,1,0,NC
95,8,24,3,2,10,2,NC
122,18,26,4,0,13,1,NC
602,41,53,4,0,15,8,NC
124,11,21,5,2,15,2,NC
26,1,5,0,0,0,0,NC
16,2,6,2,0,2,0,NC
452,41,74,11,0,26,2,NC
928,102,229,44,14,84,15,NC
8138,1470,2281,373,65,1240,458,I
61,6,9,1,0,2,0,NC
160,17,40,2,0,21,0,NC
106,14,20,4,2,15,5,NC
88,5,20,1,0,4,1,NC
52,5,11,4,0,0,0,NC
8297,1183,2416,371,58,1273,158,I
52,4,12,1,1,4,0,NC
3840,497,905,157,18,412,92,NC
3707,431,866,135,23,288,73,NC
4440,552,1046,161,28,369,78,NC
11782,1232,2848,482,268,1357,28,I
418,54,101,16,7,40,3,NC
1336,128,254,50,21,107,6,NC
8237,1259,2116,358,407,1333,99,I
1183,147,269,46,37,167,20,NC
301,49,69,6,0,24,6,NC
3,0,0,0,0,0,0,NC
3840,410,900,158,33,456,182,C
7214,993,1810,360,325,1060,51,C
24,3,3,0,0,3,2,NC
53,4,8,2,0,0,0,NC
23,0,4,2,0,0,0,NC
1473,185,389,58,12,125,24,NC
141,15,33,6,1,15,0,NC
1473,110,376,56,20,194,6,NC
74,11,17,0,0,0,0,NC
5,0,0,0,0,0,0,NC
3788,342,855,159,62,439,19,NC
984,63,201,29,12,68,4,NC
12,1,1,1,0,0,0,NC
942,93,236,27,0,129,41,NC
7700,867,1931,301,27,934,165,NC
1784,158,417,82,35,233,16,NC
15,1,1,0,0,1,0,NC
189,18,36,5,0,13,0,NC
1470,172,317,41,1,87,76,NC
192,24,40,7,2,26,0,NC
8189,1122,2007,332,36,810,150,C
4,0,0,0,0,0,0,NC
6174,786,1452,229,8,372,151,C
1,0,0,0,0,0,0,NC
1960,204,422,60,4,108,32,NC
89,12,28,6,0,11,1,NC
605,60,118,9,2,42,8,NC
1255,150,312,61,43,167,17,NC
39,1,6,2,1,7,0,NC
219,23,57,7,2,23,1,NC
23,0,0,0,0,0,0,NC
306,6,16,8,0,10,0,NC
3665,426,984,106,23,268,132,NC
75,9,17,9,1,10,2,NC
179,17,43,7,0,16,0,NC
17,1,2,0,0,1,1,NC
1173,111,247,44,13,115,4,NC
2701,215,560,105,22,233,14,NC
103,7,21,0,1,6,0,NC
172,16,40,8,5,12,1,NC
533,46,115,14,6,60,8,NC
245,27,39,5,7,24,0,NC
5476,562,1259,202,134,676,157,C
13,0,2,1,0,2,0,NC
1523,159,279,45,35,126,13,NC
7389,1064,1973,380,78,1010,300,C
582,62,138,38,21,73,3,NC
125,10,22,1,3,12,1,NC
216,19,43,4,2,14,2,NC
248,40,50,10,0,0,0,NC
259,26,41,6,6,22,0,NC
18,2,3,3,0,0,0,NC
497,83,102,25,10,40,13,NC
4,1,1,0,0,1,0,NC
1,0,0,0,0,0,0,NC
2071,133,438,66,5,174,7,NC
688,109,172,40,19,102,3,NC
607,95,158,41,8,88,5,NC
11,2,2,0,0,0,0,NC
158,22,33,6,3,16,1,NC
5745,746,1338,154,9,290,293,NC
82,13,17,4,2,14,0,NC
28,1,5,1,0,1,2,NC
3074,393,693,114,66,329,68,NC
153,22,38,6,0,10,0,NC
2309,211,469,73,3,187,12,NC
5271,691,1187,217,122,513,65,NC
176,10,31,3,4,18,0,NC
6,0,0,0,0,0,0,NC
519,69,139,16,0,25,5,NC
4310,549,978,203,55,533,42,C
97,8,13,2,0,4,1,NC
1,0,0,0,0,0,0,NC
9205,1239,2452,474,306,1309,83,NC
25,2,5,0,0,3,0,NC
1886,122,311,33,11,108,10,NC
913,73,164,19,5,50,6,NC
829,62,147,38,8,64,6,NC
21,1,3,0,0,2,0,NC
8638,1082,2172,441,41,804,67,I
732,110,143,32,0,65,19,NC
1,0,1,0,0,0,0,NC
3339,318,825,107,92,396,13,NC
949,132,238,36,6,84,22,NC
815,77,176,32,5,41,23,NC
122,12,25,6,0,5,2,NC
2488,291,529,102,33,227,25,NC
1889,138,365,65,11,183,50,NC
1819,168,416,59,5,166,16,NC
918,70,185,23,21,107,1,NC
35,1,4,1,0,3,0,NC
4558,496,1004,162,160,591,23,C
341,25,65,7,0,14,1,NC
48,7,10,2,1,7,0,NC
170,27,41,6,3,20,13,NC
3714,504,914,218,117,431,121,NC
18,0,5,1,0,0,0,NC
8102,1105,1921,295,370,1274,63,C
1761,195,346,45,7,115,55,NC
18,0,1,0,0,0,0,NC
125,10,23,6,1,10,0,NC
39,4,6,1,0,2,1,NC
1,1,0,0,0,0,0,NC
338,44,90,7,0,3,0,NC
1172,100,272,37,1,89,21,NC
260,15,50,3,0,25,9,NC
24,2,7,1,0,2,0,NC
689,68,157,37,6,76,1,NC
1934,165,440,75,21,194,6,NC
438,54,95,13,8,35,3,NC
1245,169,257,16,1,85,40,NC
30,2,5,0,0,2,1,NC
4292,562,1113,262,84,457,45,NC
92,9,23,6,0,11,2,NC
125,12,27,4,5,13,2,NC
916,72,182,31,12,85,5,NC
444,66,90,13,4,50,26,NC
71,10,17,2,0,5,1,NC
63,7,15,2,1,6,1,NC
239,32,65,5,1,20,9,NC
56,5,9,0,0,2,2,NC
911,86,220,27,4,95,16,NC
114,12,16,2,0,3,3,NC
350,38,94,16,13,42,3,NC
4,0,0,0,0,0,0,NC
5296,565,1092,133,130,633,20,NC
2126,268,473,102,69,265,58,NC
23,2,3,0,0,0,0,NC
1850,280,507,67,12,285,171,NC
272,19,50,7,1,18,1,NC
8,9,3,0,0,3,4,NC
50,2,7,0,0,1,1,NC
1,0,0,0,0,0,0,NC
492,44,124,23,9,60,2,NC
33,1,8,1,0,1,1,NC
4105,443,925,184,94,365,9,NC
181,15,44,3,5,17,1,NC
519,58,126,21,9,68,3,NC
13,4,3,0,0,2,0,NC
831,78,186,30,5,93,5,NC
5422,659,1032,202,34,434,126,NC
216,18,43,8,2,21,1,NC
8739,1086,2054,423,74,676,103,C
7,0,1,0,0,0,0,NC
9788,1798,2654,525,521,1839,24,I
4391,489,1151,220,53,478,103,C
1110,142,273,35,7,116,23,NC
0,0,0,0,0,0,0,NC
3754,329,917,91,1,263,52,NC
5,0,3,0,0,0,0,NC
24,2,7,1,0,0,0,NC
455,54,92,18,2,36,5,NC
436,52,86,16,4,0,0,NC
4483,456,1052,187,36,408,51,NC
409,55,86,7,2,60,27,NC
26,2,7,1,0,2,0,NC
3807,469,1026,130,12,343,53,NC
2104,201,578,95,20,248,5,NC
9,2,1,0,0,0,0,NC
2101,200,484,84,37,234,5,NC
265,27,47,4,0,14,1,NC
500,16,36,7,1,15,6,NC
45,2,8,1,0,4,0,NC
29,1,5,2,0,1,0,NC
2366,179,317,47,17,113,12,NC
974,94,192,30,13,87,2,NC
186,13,32,2,0,7,9,NC
9,0,0,0,0,0,0,NC
1171,96,238,26,1,88,32,NC
484,58,87,15,8,47,11,NC
5695,839,1381,192,33,567,260,NC
3468,330,777,169,87,372,3,NC
32,4,6,1,1,3,1,NC
1397,103,248,42,11,116,0,NC
425,43,99,18,1,39,3,NC
